"FromAsset","ReferencedGuid","ResolvedPath","Resolution"
"Assets/_Game/Art/Fonts/Default SDF.asset","40552c6c6b56118409f41b5054cfdb44","Assets/_Game/Art/Fonts/Default.ttf","Resolved"
"Assets/_Game/Art/Fonts/Default SDF.asset","68e6db2ebdc24f95958faec2be5558d6","Assets/TextMesh Pro/Shaders/TMP_SDF.shader","Resolved"
"Assets/_Game/Art/Fonts/Default SDF.asset","71c1514a6bd24e1e882cebbe1904ce04","Library/PackageCache/com.unity.textmeshpro@3.0.6/Scripts/Runtime/TMP_FontAsset.cs","Resolved"
"Assets/_Game/Art/Materials/Mat_E01.mat","0000000000000000f000000000000000","","UnresolvedOrBuiltIn"
"Assets/_Game/Art/Materials/Mat_E02.mat","0000000000000000f000000000000000","","UnresolvedOrBuiltIn"
"Assets/_Game/Art/Materials/Mat_E03.mat","0000000000000000f000000000000000","","UnresolvedOrBuiltIn"
"Assets/_Game/Art/Materials/Mat_E04.mat","0000000000000000f000000000000000","","UnresolvedOrBuiltIn"
"Assets/_Game/Art/Materials/Mat_E05.mat","0000000000000000f000000000000000","","UnresolvedOrBuiltIn"
"Assets/_Game/Art/Materials/Mat_E06.mat","0000000000000000f000000000000000","","UnresolvedOrBuiltIn"
"Assets/_Game/Art/Materials/Mat_E07.mat","0000000000000000f000000000000000","","UnresolvedOrBuiltIn"
"Assets/_Game/Art/Materials/Mat_E08.mat","0000000000000000f000000000000000","","UnresolvedOrBuiltIn"
"Assets/_Game/Art/Materials/Mat_E09.mat","0000000000000000f000000000000000","","UnresolvedOrBuiltIn"
"Assets/_Game/Art/Materials/Mat_E10.mat","0000000000000000f000000000000000","","UnresolvedOrBuiltIn"
"Assets/_Game/Art/Materials/Mat_E11.mat","0000000000000000f000000000000000","","UnresolvedOrBuiltIn"
"Assets/_Game/Art/Materials/Mat_E12.mat","0000000000000000f000000000000000","","UnresolvedOrBuiltIn"
"Assets/_Game/Art/Materials/Mat_E13.mat","0000000000000000f000000000000000","","UnresolvedOrBuiltIn"
"Assets/_Game/Art/Materials/Mat_E14.mat","0000000000000000f000000000000000","","UnresolvedOrBuiltIn"
"Assets/_Game/Art/Materials/Mat_E15.mat","0000000000000000f000000000000000","","UnresolvedOrBuiltIn"
"Assets/_Game/Art/Materials/Mat_U01.mat","0000000000000000f000000000000000","","UnresolvedOrBuiltIn"
