"SourcePath","SourceGuid","TargetPath","AssetKind","Status","SourceSHA256"
"Assets/_Game/Art/Fonts/Default SDF.asset","18b6fa968446e1d4a9241d201d4366f1","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Fonts/Default SDF.asset","Dependency","CopiedWithMeta","70f2c5e66e759f7240c14da7f1b7b5db52ccbd0dc16ab394e687cef442fd89d5"
"Assets/_Game/Art/Fonts/Default.ttf","40552c6c6b56118409f41b5054cfdb44","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Fonts/Default.ttf","Dependency","CopiedWithMeta","096544754b0957f19c2b58041448a9f4215156de7e14c2a9d03a37f40f45fc98"
"Assets/_Game/Art/Materials/Mat_E01.mat","a326d73ee601f3946ab28f97c0edc432","Assets/CompanyWarRE/Content/Materials/Mat_E01.mat","Dependency","ExistingGuidReused","313eb1cfd3a4b96e1d52c0874ce5f8a596504ca0d76ce640a850dd4985bb28e8"
"Assets/_Game/Art/Materials/Mat_E02.mat","b90d41f36eabe7548aa88b2adee64dd9","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Materials/Mat_E02.mat","Dependency","CopiedWithMeta","ebf288c6fae697b65c753d694725ddfe7a4f14964e597ef1e583a1b13b5e2670"
"Assets/_Game/Art/Materials/Mat_E03.mat","bac1006a7a3b30d4580c7d8511aa5d7d","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Materials/Mat_E03.mat","Dependency","CopiedWithMeta","20f3f0aafe9f6699989e8a69550cd4762ec4911a076fcfc72c8e48356ba52f74"
"Assets/_Game/Art/Materials/Mat_E04.mat","36538b0bee233ac4f803779abc0b3d3c","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Materials/Mat_E04.mat","Dependency","CopiedWithMeta","252e6e8afe24ef1fa542bbc5749ddb61d8cb306e6143e5fba10d9e7974383406"
"Assets/_Game/Art/Materials/Mat_E05.mat","59ff1a66bbf66754f8613e3d8ae5f1d6","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Materials/Mat_E05.mat","Dependency","CopiedWithMeta","4ab53f910b4eb69128312db0ca890baef64df81d59ed163c82fc8a7f841f5ace"
"Assets/_Game/Art/Materials/Mat_E06.mat","184cbfe1ed6d3c241b7ec9d9b5d2326d","Assets/CompanyWarRE/Content/Materials/Mat_E06.mat","Dependency","ExistingGuidReused","9a315c04911f90a2f0b4ab7d7f8dce09e8a1e851c674bcb83083e3e5be469ee2"
"Assets/_Game/Art/Materials/Mat_E07.mat","73e65bf99733ab54ebbdacf1938482a6","Assets/CompanyWarRE/Content/Materials/Mat_E07.mat","Dependency","ExistingGuidReused","8b77a2bc9ddcab394d1035115bead8cb67b023225accc0d83b18d604b0174615"
"Assets/_Game/Art/Materials/Mat_E08.mat","55741e45fc3691847a2f45b30ef5a003","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Materials/Mat_E08.mat","Dependency","CopiedWithMeta","5d01399a8a1fe794371be9472eef57259fedcb313e57cee18b772cf17b1ff599"
